0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SansBody,HandDown,,,,,,,
0,sansslam,1,,,,,,,
0.3,,,,,,,,,
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,90,0.1,0.1
0,bonestab,1,40,0.3,4.5,,,,
0.2,,,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,sansslam,0,,,,,,,
0.1,,,,,,,,,
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,GasterBlaster,2,0,0,$HeartX,$HeartY,0,0.1,0.1
0,bonestab,0,68,0.4,4,,,,
0.45,,,,,,,,,
0,SansBody,HandRight,,,,,,,
0,sansslam,2,,,,,,,
0.1,,,,,,,,,
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,GasterBlaster,1,0,0,$HeartX,$HeartY,180,0.01,0.1
0,bonestab,2,68,0.4,3.5,,,,
0.3,,,,,,,,,
0,HeartMode,0,,,,,,,
0.1,,,,,,,,,
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,90,0.1,1
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,180,0.1,1
0.55,,,,,,,,,
0,SineBones,50,15,520,50,,,,
1.6,,,,,,,,,
0,HeartMode,1,,,,,,,
0.6,,,,,,,,,
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,100,,,,,
0,BoneV,$HeartX,$HeartY,40,1,400,0,,
0.2,,,,,,,,,
0,HeartMode,0,,,,,,,
0.2,,,,,,,,,
0,SansBody,HandUp,,,,,,,
0,sansslam,3,,,,,,,
0.3,,,,,,,,,
0,bonestab,0,10,0.01,0.2,,,,
0,bonestab,1,10,0.01,0.2,,,,
0,bonestab,2,10,0.01,0.2,,,,
0,bonestab,3,10,0.01,0.2,,,,
0.1,,,,,,,,,
0,bonestab,0,20,0.01,0.2,,,,
0,bonestab,1,20,0.01,0.2,,,,
0,bonestab,2,20,0.01,0.2,,,,
0,bonestab,3,20,0.01,0.2,,,,
0.1,,,,,,,,,
0,bonestab,0,30,0.01,0.2,,,,
0,bonestab,1,30,0.01,0.2,,,,
0,bonestab,2,30,0.01,0.2,,,,
0,bonestab,3,30,0.01,0.2,,,,
0.1,,,,,,,,,
0,bonestab,0,40,0.01,0.2,,,,
0,bonestab,1,40,0.01,0.2,,,,
0,bonestab,2,40,0.01,0.2,,,,
0,bonestab,3,40,0.01,0.2,,,,
0.1,,,,,,,,,
0,bonestab,0,50,0.01,0.2,,,,
0,bonestab,1,50,0.01,0.2,,,,
0,bonestab,2,50,0.01,0.2,,,,
0,bonestab,3,50,0.01,0.2,,,,
0.1,,,,,,,,,
0,bonestab,0,60,0.01,0.2,,,,
0,bonestab,1,60,0.01,0.2,,,,
0,bonestab,2,60,0.01,0.2,,,,
0,bonestab,3,60,0.01,0.2,,,,
0.1,,,,,,,,,
0,bonestab,0,70,0.01,0.2,,,,
0,bonestab,1,70,0.01,0.2,,,,
0,bonestab,2,70,0.01,0.2,,,,
0,bonestab,3,70,0.01,0.2,,,,
